# Hosts information in Wireshark 
#
# Host data gathered from /home/ishtar/github/ntua-netmgmnt/lab4/trace_b.cap

155.207.1.12	www.ccf.auth.gr
147.102.13.231	wolverine.netmode.ece.ntua.gr
147.102.13.136	dhcp-136.netmode.ece.ntua.gr
147.102.13.41	grid1.netmode.ece.ntua.gr
195.134.71.229	sites.uoa.gr
147.102.13.107	vega.netmode.ece.ntua.gr
147.102.13.12	argugrid.netmode.ece.ntua.gr
147.102.13.173	vasileios.netmode.ece.ntua.gr
147.102.13.78	dhcp-78.netmode.ece.ntua.gr
147.102.13.144	aris-pc.netmode.ece.ntua.gr
139.91.1.1	grdns.ics.forth.gr
2620:0:22b0:4:221:9bff:fe97:dc44	gr-us.ics.forth.gr
2001:648:2c30::191:3	estia.ics.forth.gr
2001:648:2000:d:20c:29ff:fe79:e306	efipsans.netmode.ece.ntua.gr
2001:648:2100::130	gr-aix.ics.forth.gr
2001:648:2000:de::210	achilles.noc.ntua.gr
2001:648:2000:de::220	diomedes.noc.ntua.gr
2001:648:2000:de::230	ulysses.noc.ntua.gr
2001:678:7::4:10	gr-m.ics.forth.gr


# Address resolution IPv4 Hash table 
#
# With 213 entries
#
Key:0x310d6693 IP: 147.102.13.49, Name: dimitra.netmode.ece.ntua.gr
Key:0x0 IP: 0.0.0.0, Name: 0.0.0.0
Key:0xd20d6693 IP: 147.102.13.210, Name: dhcp-210.netmode.ece.ntua.gr
Key:0x730d6693 IP: 147.102.13.115, Name: bigshow.netmode.ece.ntua.gr
Key:0x140d6693 IP: 147.102.13.20, Name: blondie.netmode.ece.ntua.gr
Key:0xb50d6693 IP: 147.102.13.181, Name: cookie06.netmode.ece.ntua.gr
Key:0x560d6693 IP: 147.102.13.86, Name: maglaris-dell2.netmode.ece.ntua.gr
Key:0xf70d6693 IP: 147.102.13.247, Name: cyclops-man.netmode.ece.ntua.gr
Key:0x390d6693 IP: 147.102.13.57, Name: yoda.netmode.ece.ntua.gr
Key:0xda0d6693 IP: 147.102.13.218, Name: dhcp-218.netmode.ece.ntua.gr
Key:0x7b0d6693 IP: 147.102.13.123, Name: gn3-jra2.netmode.ece.ntua.gr
Key:0x1c0d6693 IP: 147.102.13.28, Name: cretino.netmode.ece.ntua.gr
Key:0x410d6693 IP: 147.102.13.65, Name: dhcp-65.netmode.ece.ntua.gr
Key:0x830d6693 IP: 147.102.13.131, Name: dhcp-131.netmode.ece.ntua.gr
Key:0x240d6693 IP: 147.102.13.36, Name: kalfas.netmode.ece.ntua.gr
Key:0x660d6693 IP: 147.102.13.102, Name: vm-laser.netmode.ece.ntua.gr
Key:0x70d6693 IP: 147.102.13.7, Name: potis.netmode.ece.ntua.gr
Key:0x490d6693 IP: 147.102.13.73, Name: dhcp-73.netmode.ece.ntua.gr
Key:0xea0d6693 IP: 147.102.13.234, Name: test1.netmode.ece.ntua.gr
Key:0xd3d2b1c2 IP: 194.177.210.211, Name: foo.grnet.gr
Key:0x8b0d6693 IP: 147.102.13.139, Name: dhcp-139.netmode.ece.ntua.gr
Key:0x2c0d6693 IP: 147.102.13.44, Name: grid4.netmode.ece.ntua.gr
Key:0xf0d6693 IP: 147.102.13.15, Name: frog.netmode.ece.ntua.gr
Key:0xb00d6693 IP: 147.102.13.176, Name: idomeneas.netmode.ece.ntua.gr
Key:0x510d6693 IP: 147.102.13.81, Name: eestec.netmode.ece.ntua.gr
Key:0xf20d6693 IP: 147.102.13.242, Name: xavier-man.netmode.ece.ntua.gr
Key:0x930d6693 IP: 147.102.13.147, Name: vnode1.netmode.ece.ntua.gr
Key:0x340d6693 IP: 147.102.13.52, Name: asterix.netmode.ece.ntua.gr
Key:0x3bf5b8b IP: 139.91.191.3, Name: estia.ics.forth.gr
Key:0xd50d6693 IP: 147.102.13.213, Name: dhcp-213.netmode.ece.ntua.gr
Key:0x760d6693 IP: 147.102.13.118, Name: ubumon.netmode.ece.ntua.gr
Key:0x170d6693 IP: 147.102.13.23, Name: stranger.netmode.ece.ntua.gr
Key:0xb80d6693 IP: 147.102.13.184, Name: cookie09.netmode.ece.ntua.gr
Key:0x590d6693 IP: 147.102.13.89, Name: bob.netmode.ece.ntua.gr
Key:0xfa0d6693 IP: 147.102.13.250, Name: hp-sw.netmode.ece.ntua.gr
Key:0x3c0d6693 IP: 147.102.13.60, Name: matrix.netmode.ece.ntua.gr
Key:0x7e0d6693 IP: 147.102.13.126, Name: vFreebsd.netmode.ece.ntua.gr
Key:0x1f0d6693 IP: 147.102.13.31, Name: redicolo.netmode.ece.ntua.gr
Key:0x20d6693 IP: 147.102.13.2, Name: vento.netmode.ece.ntua.gr
Key:0x440d6693 IP: 147.102.13.68, Name: dhcp-68.netmode.ece.ntua.gr
Key:0x860d6693 IP: 147.102.13.134, Name: dhcp-134.netmode.ece.ntua.gr
Key:0x270d6693 IP: 147.102.13.39, Name: yankee.netmode.ece.ntua.gr
Key:0xc80d6693 IP: 147.102.13.200, Name: router.netmode.ece.ntua.gr
Key:0xa0d6693 IP: 147.102.13.10, Name: dolly.netmode.ece.ntua.gr
Key:0xab0d6693 IP: 147.102.13.171, Name: marypc.netmode.ece.ntua.gr
Key:0x100007f IP: 127.0.0.1, Name: localhost.netmode.ece.ntua.gr
Key:0x4c0d6693 IP: 147.102.13.76, Name: dhcp-76.netmode.ece.ntua.gr
Key:0xed0d6693 IP: 147.102.13.237, Name: repository.netmode.ece.ntua.gr
Key:0x8e0d6693 IP: 147.102.13.142, Name: storm-man.netmode.ece.ntua.gr
Key:0x2f0d6693 IP: 147.102.13.47, Name: vm-office.netmode.ece.ntua.gr
Key:0x710d6693 IP: 147.102.13.113, Name: pc-maglaris-lab.netmode.ece.ntua.gr
Key:0x120d6693 IP: 147.102.13.18, Name: mindport.netmode.ece.ntua.gr
Key:0xb30d6693 IP: 147.102.13.179, Name: sorch.netmode.ece.ntua.gr
Key:0x540d6693 IP: 147.102.13.84, Name: maglaris-dell.netmode.ece.ntua.gr
Key:0xf50d6693 IP: 147.102.13.245, Name: magneto.netmode.ece.ntua.gr
Key:0x370d6693 IP: 147.102.13.55, Name: imeros.netmode.ece.ntua.gr
